practice_code,practice_name
A82037,SILLOTH GROUP MEDICAL PRACTICE
A82038,TEMPLE SOWERBY MEDICAL PRACTICE
A82039,DALTON SURGERY
A82041,LOWTHER MEDICAL CENTRE
A82044,FELLVIEW HEALTHCARE
A82045,WIGTON GROUP MEDICAL PRACTICE
A82046,WINDERMERE HEALTH CENTRE
A82047,JAMES STREET GROUP PRACT
A82053,NUTWOOD MEDICAL PRACTICE
A82055,ASPATRIA MEDICAL GROUP
A82062,ATKINSON HEALTH CENTRE
A82064,WESTCROFT HOUSE SURGERY
A82068,ULVERSTON COMMUNITY HEALTH CENTRE
A82070,ST.MARY'S SURGERY
A82071,BURNETT EDGAR MEDICAL CTR
A82072,RISEDALE SURGERY
A82075,MANSION HOUSE SURGERY
A82608,SEDBERGH MEDICAL PRACTICE
A82613,WRAYSDALE HOUSE SURGERY
A82617,KIRKOSWALD SURGERY
A82620,GLENRIDDING HEALTH CENTRE
A82629,THE FAMILY PRACTICE
A82631,COURT THORN SURGERY
A82646,LONGTOWN MEDICAL CENTRE
A82647,CARTMEL SURGERY
A82650,HAVERTHWAITE SURGERY
A82651,DUDDON VALLEY MEDICAL PRACTICE
A82654,WARWICK SQUARE GROUP PRACTICE
A83001,ST ANDREW'S MEDICAL PRACTICE
A83003,WILLINGTON MEDICAL GROUP
A83005,WHINFIELD MEDICAL PRACTICE
A83006,ORCHARD COURT SURGERY
A83007,BLACKHALL AND PETERLEE PRACTICE
A83008,HALLGARTH SURGERY
A83009,BRIDGE END SURGERY
A83010,MOORLANDS SURGERY
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP
A83012,WILLIAM BROWN CENTRE
A83013,NEASHAM ROAD SURGERY
A83014,BELMONT & SHERBURN MEDICAL GROUP
A83015,STATION VIEW MEDICAL CENTRE
A83016,TANFIELD VIEW MEDICAL GROUP
A83018,CONSETT MEDICAL CENTRE
A83020,NORTH HOUSE SURGERY
A83021,AUCKLAND MEDICAL GROUP
A83022,THE MEDICAL GROUP
A83023,STANLEY MEDICAL GROUP
A83024,WEST RAINTON SURGERY
A83025,BISHOPGATE MEDICAL CENTRE
A83026,SACRISTON MEDICAL CENTRE
A83027,COXHOE MEDICAL PRACTICE
A83028,MIDDLE CHARE MEDICAL GROUP
A83029,GREAT LUMLEY SURGERY
A83030,DUNELM MEDICAL PRACTICE
A83031,CARMEL MEDICAL PRACTICE
A83032,WOODVIEW MEDICAL PRACTICE
A83033,PELTON & FELLROSE MEDICAL GROUP
A83034,BLACKETTS MEDICAL PRACTICE
A83035,THE WEARDALE PRACTICE
A83036,CHASTLETON MEDICAL GROUP
A83037,BEWICK CRESCENT SURGERY
A83038,CEDARS MEDICAL GROUP
A83040,CLIFTON COURT MEDICAL PRACTICE
A83041,MURTON MEDICAL CENTRE
A83043,OLD FORGE SURGERY
A83044,THE HORDEN GROUP PRACTICE
A83045,FERRYHILL AND CHILTON MEDICAL PRACTICE
A83046,BARNARD CASTLE SURGERY
A83047,DENMARK STREET SURGERY
A83048,ROCKLIFFE COURT SURGERY
A83049,QUEENS ROAD SURGERY
A83050,CESTRIA HEALTH CENTRE
A83051,MARLBOROUGH SURGERY
A83052,BISHOPS CLOSE MEDICAL PRACTICE
A83054,SKERNE MEDICAL GROUP
A83055,CHEVELEY PARK MEDICAL CTR
A83057,EAST DURHAM MEDICAL GROUP
A83060,PINFOLD MEDICAL PRACTICE
A83061,GAINFORD SURGERY
A83066,JUBILEE MEDICAL GROUP
A83070,MIDDLETON AND DINSDALE MEDICAL PRACTICE
A83071,THE NEW SEAHAM MEDICAL GROUP
A83072,LANCHESTER MEDICAL CENTRE
A83073,DRS LAMBERT & NG
A83074,PEASE WAY MEDICAL CENTRE
A83075,BYRON MEDICAL PRACTICE
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH
A83616,BEVAN MEDICAL GROUP
A83617,BROWNEY HOUSE SURGERY
A83618,OAKFIELDS HEALTH GROUP
A83619,SOUTHDENE MEDICAL CENTRE
A83622,THE HAVEN SURGERY
A83626,EVENWOOD MEDICAL PRACTICE
A83627,SILVERDALE FAMILY PRACTICE
A83634,WEST CORNFORTH MEDICAL CENTRE
A83635,BOWBURN MEDICAL CENTRE
A83636,LEADGATE SURGERY
A83637,VILLAGES MEDICAL GROUP
A83641,PARKGATE SURGERY
A83642,RECOVERY CENTRE DURHAM
A83644,ANNFIELD PLAIN SURGERY
A84002,THE ROTHBURY PRACTICE
A84005,BEDLINGTONSHIRE MED.GROUP
A84006,ALNWICK MEDICAL GROUP
A84007,PONTELAND MEDICAL GROUP
A84008,BELFORD MEDICAL PRACTICE
A84009,RAILWAY MEDICAL GROUP
A84011,WHITE MEDICAL GROUP
A84013,THE GABLES MEDICAL GROUP
A84014,MARINE MEDICAL GROUP
A84016,PRUDHOE MEDICAL GROUP
A84018,CORBRIDGE HEALTH CENTRE
A84020,GUIDEPOST MEDICAL GROUP
A84022,COQUET MEDICAL GROUP
A84024,BURN BRAE MEDICAL GROUP
A84025,CRAMLINGTON MEDICAL GROUP
A84026,WELL CLOSE MEDICAL GROUP
A84027,BELLINGHAM PRACTICE
A84028,SEATON PARK MEDICAL GROUP
A84029,NORTHUMBERLAND HEALTH
A84030,VILLAGE MEDICAL GROUP
A84031,GREYSTOKE SURGERY
A84033,THE SELE MEDICAL PRACTICE
A84034,HALTWHISTLE MEDICAL GROUP
A84035,RIVERSDALE SURGERY
A84036,VALENS MEDICAL PARTNERSHIP
A84037,NETHERFIELD HOUSE
A84038,FORUM FAMILY PRACTICE
A84039,GAS HOUSE LANE SURGERY
A84040,HUMSHAUGH & WARK MED GRP
A84042,SCOTS GAP MEDICAL GROUP
A84044,UNION BRAE & NORHAM PRAC
A84045,HAYDON BRIDGE & ALLENDALE MEDICAL PRACT
A84047,BRANCH END SURGERY
A84604,WOOLER HEALTH
A84614,THE ADDERLANE SURGERY
A84619,ELSDON AVENUE SURGERY
A85001,FELL TOWER MEDICAL CENTRE
A85002,BENSHAM FAMILY PRACTICE
A85004,LONGRIGG MEDICAL CENTRE
A85005,OXFORD TCE & RAWLING RD MEDICAL GROUP
A85006,GLENPARK & TEAMS MEDICAL SERVICES
A85007,FELL COTTAGE SURGERY
A85008,BIRTLEY MEDICAL GROUP
A85009,CROWHALL MEDICAL CENTRE
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP
A85011,ST. ALBANS MEDICAL GROUP
A85013,MILLENNIUM FAMILY PRACTICE
A85014,CRAWCROOK MEDICAL CENTRE
A85016,WREKENTON MEDICAL GROUP
A85017,BEWICK ROAD SURGERY
A85018,OLDWELL SURGERY
A85019,CENTRAL GATESHEAD MEDICAL GROUP
A85020,WHICKHAM COTTAGE MEDICAL CENTRE
A85021,SECOND STREET SURGERY
A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE
A85026,BEACON VIEW MEDICAL CENTRE
A85611,PELAW MEDICAL PRACTICE
A85614,THE BRIDGES MEDICAL PRACTICE
A85616,HOLLYHURST MEDICAL CENTRE
A85617,SUNNISIDE SURGERY
A85621,GATDOC OOH
A86003,SAVILLE MEDICAL GROUP
A86004,PROSPECT MEDICAL CENTRE
A86005,WEST FARM SURGERY
A86006,ROSEWORTH SURGERY
A86008,PARK MEDICAL GROUP
A86010,BIDDLESTONE HEALTH GROUP
A86011,WALKER MEDICAL GROUP
A86012,WEST ROAD MEDICAL CENTRE
A86013,DENTON PARK MEDICAL GROUP
A86016,LANE END SURGERY
A86017,CRUDDAS PARK SURGERY
A86018,THE GROVE MEDICAL GROUP
A86020,JESMOND HEALTH PARTNERSHIP
A86021,HOLMSIDE MEDICAL GROUP
A86022,PARKWAY MEDICAL GROUP
A86023,BENFIELD PARK MEDICAL GROUP
A86024,HEATON ROAD SURGERY
A86025,WESTERHOPE MEDICAL GROUP
A86026,THROCKLEY PRIMARY CARE CENTRE
A86027,NEWCASTLE MEDICAL CENTRE
A86028,REGENT MEDICAL CENTRE
A86029,THORNFIELD MEDICAL GROUP
A86030,BETTS AVENUE MEDICAL GROUP
A86031,FENHAM HALL SURGERY
A86033,BRUNTON PARK
A86037,ELSWICK FAMILY PRACTICE
A86038,NEWBURN SURGERY
A86040,ST.ANTHONY'S HEALTH CENTRE
A86041,SWARLAND AVENUE SURGERY
A86601,DENTON TURRET MEDICAL CENTRE
A87002,SPRING TERRACE HEALTH CENTRE
A87004,COLLINGWOOD HEALTH GROUP
A87005,WHITLEY BAY HEALTH CENTRE
A87007,STEPHENSON PARK HEALTH GROUP
A87008,MARINE AVENUE MEDICAL CTR
A87009,PRIORY MEDICAL GROUP
A87011,BEAUMONT PARK SURGERY
A87012,WIDEOPEN MEDICAL CENTRE
A87013,BEWICKE MEDICAL CENTRE
A87016,THE VILLAGE GREEN SURGERY
A87017,WOODLANDS PARK HEALTH CTR
A87020,BRIDGE AND MONKSEATON MEDICAL PRACTICE
A87022,NORTHUMBERLAND PARK MEDICAL GROUP
A87029,HADRIAN HEALTH CENTRE
A87030,REDBURN PARK MEDICAL CENTRE
A87612,WELLSPRING MEDICAL PRACT.
A87615,MALLARD MEDICAL PRACTICE
A88001,VICTORIA MEDICAL CENTRE
A88002,FARNHAM MEDICAL CTR.
A88003,MARSDEN MEDICAL GROUP
A88004,MAYFIELD MEDICAL GROUP
A88005,WENLOCK ROAD SURGERY
A88006,TALBOT MEDICAL CENTRE
A88008,TRINITY MEDICAL CENTRE
A88009,DR THORNILEY-WALKER & PARTNERS
A88010,ALBERT ROAD SURGERY
A88012,ELLISON VIEW SURGERY
A88013,CENTRAL SURGERY
A88014,WEST VIEW SURGERY
A88015,ST GEORGE & RIVERSIDE MEDICAL PRACTICE
A88016,COLLIERY COURT MEDICAL GROUP
A88022,THE GLEN MEDICAL GROUP
A88023,WHITBURN SURGERY
A88025,THE G.P.SUITE
A88601,IMEARY MEDICAL GROUP
A88608,RAVENSWORTH SURGERY
A88613,EAST WING PRACTICE
A89001,DEERNESS PARK MEDICAL GROUP
A89002,RIVERVIEW SURGERY
A89004,HETTON GROUP PRACTICE
A89005,VILLETTE SURGERY
A89006,WEARSIDE MEDICAL PRACTICE - PALLION
A89007,PALLION FAMILY PRACTICE
A89008,RED HOUSE MEDICAL CENTRE
A89009,HERRINGTON MEDICAL CENTRE
A89010,THE STEPHENSON MEDICAL PRACTICE
A89011,VILLAGE SURGERY PARTNERSHIP
A89012,GALLERIES MEDICAL PRACTICE
A89013,THE NEW CITY MEDICAL GROUP
A89015,"FULWELL MEDICAL CENTRE,"
A89016,ST BEDE MEDICAL CENTRE
A89017,MILLFIELD MEDICAL GROUP
A89018,ASHBURN MEDICAL CENTRE
A89019,BRIDGE VIEW MEDICAL GROUP
A89020,FORGE MEDICAL PRACTICE
A89021,KEPIER MEDICAL PRACTICE
A89022,CONCORD MEDICAL PRACTICE
A89023,"HOUGHTON MEDICAL GROUP,"
A89024,THE BROADWAY MEDICAL PRACTICE
A89025,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE
A89026,NEW WASHINGTON MEDICAL GROUP
A89027,SPRINGWELL MEDICAL GROUP
A89028,GRANGEWOOD SURGERY
A89030,WESTBOURNE MEDICAL GROUP
A89031,HYLTON MEDICAL GROUP
A89032,NEW SILKSWORTH MEDICAL PRACTICE
A89034,PARK LANE PRACTICE
A89035,SOUTHLANDS MEDICAL GROUP
A89036,CASTLETOWN MEDICAL CENTRE
A89040,MONKWEARMOUTH HEALTH CENTRE
A89041,HAPPY HOUSE SURGERY
A89614,SUNDERLAND GP ALLIANCE SOUTH HYLTON SURG
A89616,RICKLETON MEDICAL CENTRE
A89617,I J HEALTHCARE
A89623,CHESTER SURGERY
AXT998,UNIDENTIFIED DOCTORS
B81003,BEACON MEDICAL
B81004,"EASTGATE MEDICAL GROUP, HORNSEA"
B81005,THE CENTRAL SURGERY BARTON
B81006,HUMBER PRIMARY CARE
B81007,WINTERTON MEDICAL PRACTICE
B81008,HULL FAMILY PRACTICE
B81009,MARKET WEIGHTON GROUP PRACTICE
B81011,KINGSTON HEALTH (HULL)
B81012,DR AP KUMAR
B81013,MONTAGUE MEDICAL PRACTICE
B81015,CLEE MEDICAL CENTRE
B81016,PELHAM MEDICAL GROUP
B81017,THE QUAYS MEDICAL PRACTICE
B81018,ORCHARD 2000 GROUP
B81020,THE SUTTON MANOR SURGERY
B81022,CAMBRIDGE AVENUE & MESSINGHAM MC
B81024,WILLERBY AND SWANLAND SURGERY
B81025,HOLDERNESS HEALTH
B81026,ANCORA MEDICAL PRACTICE
B81027,ST ANDREWS SURGERY
B81029,THE SNAITH AND RAWCLIFFE MEDICAL GROUP
B81030,SLC MEDICAL GROUP
B81031,WOODFIELD MEDICAL
B81032,WILBERFORCE SURGERY
B81034,LEVEN & BEEFORD MEDICAL PRACTICE
B81035,THE AVENUES MEDICAL CENTRE
B81036,POCKLINGTON GROUP PRACTICE
B81037,THE PARK SURGERY
B81038,THE OAKS MEDICAL CENTRE
B81039,THE ROXTON PRACTICE
B81040,DR JAD WEIR & PARTNERS
B81041,GILBERDYKE HEALTH CENTRE
B81042,MANOR ROAD SURGERY
B81043,SOUTH AXHOLME PRACTICE
B81045,ASHBY TURN PRIMARY CARE PARTNERS
B81046,THE BRIDGE GROUP PRACTICE
B81047,WOLSELEY MEDICAL CENTRE
B81048,MODALITY PARTNERSHIP (HULL)
B81051,OLD FIRE STATION SURGERY
B81052,PRINCES MEDICAL CENTRE
B81054,CLIFTON HOUSE MEDICAL CENTRE
B81061,THE RIDINGS MEDICAL GROUP
B81063,BRIDGE STREET SURGERY
B81064,CHURCH LANE MEDICAL CENTRE
B81068,BARTHOLOMEW MEDICAL GROUP
B81069,DRS REDDY AND NUNN
B81074,CITY HEALTH PRACTICE LTD
B81075,HASTINGS MEDICAL CENTRE
B81082,NORTH BEVERLEY MEDICAL CENTRE
B81085,HAXBY GROUP HULL
B81087,BIRKWOOD MEDICAL CENTRE
B81088,HOWDEN MEDICAL PRACTICE
B81090,THE OSWALD ROAD MEDICAL SURGERY
B81091,LITTLEFIELD SURGERY
B81092,"THE MEDICAL CENTRE, DRIFFIELD"
B81097,DELTA HEALTHCARE
B81099,THE KIRTON LINDSEY AND SCOTTER SURGERY
B81100,DR AC MILNER
B81101,GREENGATES MEDICAL GROUP
B81104,CAMPUS HEALTH CENTRE
B81108,DR A SINHA
B81109,RIVERSIDE SURGERY
B81112,JAMES ALEXANDER FAMILY PRACTICE
B81113,CEDAR MEDICAL PRACTICE
B81118,WEST COMMON LANE TEACHING PRACTICE
B81119,GOODHEART SURGERY
B81606,STIRLING MEDICAL CENTRE (MATHEWS)
B81616,DR GT HENDOW'S PRACTICE
B81617,CHERRY TREE MEDICAL PRACTICE
B81619,PARK VIEW SURGERY
B81628,BARNETBY MEDICAL CENTRE
B81631,DRS RAUT AND THOUFEEQ
B81635,LAURBEL SURGERY
B81642,DR OZ QURESHI
B81645,EAST PARK PRACTICE
B81647,WEST TOWN SURGERY
B81648,THE KILLINGHOLME SURGERY
B81653,KING STREET MEDICAL CENTRE
B81655,GREENLANDS SURGERY
B81656,RAJ MEDICAL CENTRE
B81663,CORE CARE FAMILY PRACTICE
B81665,HEALING PARTNERSHIP
B81666,DR MITCHELL
B81697,DR P SURESH BABU
B82002,MILLFIELD SURGERY
B82004,NIDDERDALE GROUP PRACTICE
B82005,PRIORY MEDICAL GROUP
B82007,TOWNHEAD SURGERY
B82008,NORTH HOUSE SURGERY
B82010,RIPON SPA SURGERY
B82011,SHERBURN SURGERY
B82012,THE LEEDS ROAD PRACTICE
B82013,MOSS HEALTHCARE HARROGATE
B82014,KINGSWOOD SURGERY
B82016,STRAYSIDE HEALTH
B82017,WHITBY GROUP PRACTICE
B82018,ESCRICK SURGERY
B82019,TOPCLIFFE SURGERY
B82021,DALTON TERRACE SURGERY
B82022,GREAT AYTON SURGERY
B82023,CATTERICK VILLAGE SURGERY
B82024,EASTFIELD MEDICAL CENTRE
B82025,DERWENT PRACTICE
B82026,HAXBY GROUP PRACTICE
B82027,THE SPA SURGERY
B82029,DOCTORS LANE SURGERY
B82030,MASHAM & KIRKBY MALZEARD SURGERY
B82031,SHERBURN GROUP PRACTICE
B82032,CHURCH LANE SURGERY
B82033,PICKERING MEDICAL PRACTICE
B82034,QUAKERS LANE SURGERY
B82035,SCORTON MEDICAL CENTRE
B82036,PARK STREET
B82037,FILEY SURGERY
B82038,HAXBY GROUP SCARBOROUGH
B82041,BEECH TREE SURGERY
B82042,LAMBERT MEDICAL CENTRE
B82044,STOKESLEY SURGERY
B82045,CENTRAL DALES PRACTICE
B82046,STAITHES SURGERY
B82047,UNITY HEALTH
B82049,THIRSK DOCTORS SURGERY
B82050,MOWBRAY HOUSE SURGERY
B82053,DYNELEY HOUSE SURGERY
B82054,SCARBOROUGH MEDICAL GROUP
B82057,SPRINGBANK SURGERY
B82059,CHURCH AVENUE MEDICAL GROUP
B82060,EASTGATE MEDICAL GROUP
B82061,BENTHAM MEDICAL PRACTICE
B82063,AYTON AND SNAINTON MEDICAL PRACTICE
B82064,TOLLERTON SURGERY
B82066,GLEBE HOUSE SURGERY
B82067,STOCKWELL ROAD SURGERY
B82068,HELMSLEY SURGERY
B82069,BEECH HOUSE SURGERY
B82071,THE OLD SCHOOL MEDICAL PRACTICE
B82072,THE FRIARY SURGERY
B82073,SOUTH MILFORD SURGERY
B82074,POSTERNGATE SURGERY
B82075,MAYFORD HOUSE SURGERY
B82077,KIRKBYMOORSIDE SURGERY
B82078,LEYBURN MEDICAL PRACTICE
B82079,STILLINGTON SURGERY
B82080,MY HEALTH GROUP
B82081,ELVINGTON MEDICAL PRACTICE
B82083,YORK MEDICAL GROUP
B82086,ESK VALLEY MEDICAL PRACTICE
B82088,BROOK SQUARE SURGERY
B82097,SCOTT ROAD MEDICAL CENTRE
B82098,JORVIK GILLYGATE PRACTICE
B82100,FRONT STREET SURGERY
B82101,SLEIGHTS AND SANDSEND MEDICAL PRACTICE
B82104,HAREWOOD MEDICAL PRACTICE
B82105,TADCASTER MEDICAL CENTRE
B82106,HACKNESS ROAD SURGERY
B82609,AMPLEFORTH SURGERY
B82619,TERRINGTON SURGERY
B82622,REETH MEDICAL CENTRE
B82628,HUNMANBY SURGERY
B83002,ILKLEY & WHARFEDALE MEDICAL PRACTICE
B83005,THORNBURY MEDICAL PRACTICE
B83008,LING HOUSE MEDICAL CENTRE
B83009,SUNNYBANK & COWGILL MEDICAL PRACTICE
B83010,PARKLANDS MEDICAL PRACTICE
B83012,MANOR MEDICAL PRACTICE
B83014,BINGLEY MEDICAL PRACTICE
B83015,TONG MEDICAL PRACTICE
B83016,FARROW MEDICAL CENTRE
B83018,IDLE MEDICAL CENTRE
B83019,GRANGE PARK SURGERY
B83020,THE WILLOWS MEDICAL PRACTICE
B83022,BAILDON MEDICAL PRACTICE
B83025,DR I M RAJA & PARTNER
B83026,PRIMROSE SURGERY
B83028,WIBSEY & QUEENSBURY MED P
B83029,LOW MOOR SURGERY
B83031,OAK GLEN SURGERY
B83032,BRADFORD MOOR PRACTICE
B83033,MODALITY PARTNERSHIP (AWC)
B83034,GRANGE MEDICAL CENTRE
B83035,HORTON PARK MEDICAL PRACTICE
B83037,THE WILSDEN MEDICAL PRACTICE
B83038,LEYLANDS LANE MEDICAL PRACTICE
B83039,THE SALTAIRE & WINDHILL MEDICAL P'SHIP
B83041,BOWLING HALL MED PRACTICE
B83042,ROOLEY LANE MED. CENTRE
B83045,HOLLYNS HEALTH & WELLBEING
B83051,BRADFORD STUDENT HEALTH SERVICE
B83052,KENSINGTON PARTNERSHIP
B83054,HAIGH HALL MEDICAL PRACTICE
B83055,THE RIDGE MEDICAL PRACT.
B83056,MOORSIDE SURGERY
B83058,THE AVICENNA MEDICAL PRACTICE
B83062,ASHCROFT SURGERY
B83063,SHIPLEY MEDICAL PRACTICE-AFFINITY CARE
B83064,THE ROCKWELL AND WROSE PRACTICE
B83067,THE SPRINGFIELD SURGERY (BINGLEY)
B83604,THE LISTER SURGERY
B83611,NEW OTLEY ROAD MEDICAL PRACTICE
B83614,PICTON MEDICAL CENTRE
B83620,ADDINGHAM SURGERY
B83622,DR IA GILKAR & PARTNERS
B83624,I G MEDICAL
B83626,VALLEY VIEW SURGERY
B83627,FRIZINGHALL MEDICAL CENTRE
B83628,CLARENDON MEDICAL CENTRE
B83629,PEEL PARK SURGERY
B83641,ASHWELL MEDICAL CENTRE
B83642,THE CITY MEDICAL PRACTICE
B83653,DR GILKAR
