practice_code,icb_code,year_month,practice_name,antibiotic_items,antibiotic_quantity,antibiotic_nic,total_all_items,abx_rate_per_1000,cost_per_item,cost_per_quantity
02Q998,QT1,202511,UNIDENTIFIED DOCTORS,50,751,78.84000000000002,36,1388.888888888889,1.5768000000000004,0.10498002663115848
02X998,QF7,202511,UNIDENTIFIED DOCTORS,1,21,1.89,28,35.714285714285715,1.89,0.09
03F998,QOQ,202511,UNIDENTIFIED DOCTORS,8,71,14.77,259,30.88803088803089,1.84625,0.20802816901408452
03H998,QOQ,202511,UNIDENTIFIED DOCTORS,5,500,7.54,45,111.1111111111111,1.508,0.01508
03K998,QOQ,202511,UNIDENTIFIED DOCTORS,16,666,138.29999999999998,1171,13.663535439795046,8.643749999999999,0.2076576576576576
03W998,QK1,202511,UNIDENTIFIED DOCTORS,33,466,160.67,836,39.473684210526315,4.868787878787878,0.34478540772532185
04C998,QK1,202511,UNIDENTIFIED DOCTORS,11,44,18.2,27,407.4074074074074,1.6545454545454543,0.4136363636363637
04V998,QK1,202511,UNIDENTIFIED DOCTORS,6,487,43.19,30,200,7.198333333333333,0.08868583162217658
05D998,QNC,202511,UNIDENTIFIED DOCTORS,52,1607,118.85,365,142.46575342465752,2.285576923076923,0.0739576851275669
05G998,QNC,202511,UNIDENTIFIED DOCTORS,2,200,2.92,1,2000,1.46,0.0146
05W998,QNC,202511,UNIDENTIFIED DOCTORS,5,91,6.12,17,294.11764705882354,1.224,0.06725274725274726
06K998,QM7,202511,UNIDENTIFIED DOCTORS,1,14,2.28,16,62.5,2.28,0.16285714285714284
06N998,QM7,202511,UNIDENTIFIED DOCTORS,2,400,5.84,21,95.23809523809524,2.92,0.0146
06Q998,QH8,202511,UNIDENTIFIED DOCTORS,48,1458,88.98,754,63.6604774535809,1.85375,0.06102880658436214
07G998,QH8,202511,UNIDENTIFIED DOCTORS,66,593,124.21,284,232.3943661971831,1.881969696969697,0.209460370994941
07H998,QM7,202511,UNIDENTIFIED DOCTORS,147,1850,260.51,388,378.8659793814433,1.7721768707482992,0.1408162162162162
09D998,QNX,202511,UNIDENTIFIED DOCTORS,1,56,2.38,5,200,2.38,0.04249999999999999
10Q998,QU9,202511,UNIDENTIFIED DOCTORS,7,77,16.490000000000002,61,114.75409836065576,2.355714285714286,0.21415584415584416
11M998,QR1,202511,UNIDENTIFIED DOCTORS,73,2029,173.84000000000003,107,682.2429906542055,2.381369863013699,0.08567767373090193
11N998,QT6,202511,UNIDENTIFIED DOCTORS,4,330,5.880000000000001,100,40,1.4700000000000002,0.01781818181818182
12F998,QYG,202511,UNIDENTIFIED DOCTORS,3,368,25.94,10,300,8.6466666666666665,0.0704891304347826
13T998,QHM,202511,UNIDENTIFIED DOCTORS,4,312,20.7,122,32.786885245901644,5.175,0.06634615384615385
14L998,QOP,202511,UNIDENTIFIED DOCTORS,53,1884,191.22000000000003,179,296.08938547486036,3.6079245283018873,0.1014968152866242
14Y998,QU9,202511,UNIDENTIFIED DOCTORS,6,369,9.53,56,107.14285714285714,1.5883333333333332,0.02582655826558265
15A998,QU9,202511,UNIDENTIFIED DOCTORS,32,1023,112.14,108,296.2962962962963,3.504375,0.10961876832844576
15C998,QUY,202511,UNIDENTIFIED DOCTORS,2,30,1.74,34,58.8235294117647,0.87,0.058
15E998,QHL,202511,UNIDENTIFIED DOCTORS,158,4512,1198.0499999999995,788,200.50761421319797,7.582594936708859,0.26552526595744674
15F998,QWO,202511,UNIDENTIFIED DOCTORS,5,373,12.94,168,29.76190476190476,2.588,0.0346916890080429
15M998,QJ2,202511,UNIDENTIFIED DOCTORS,19,836,39.76,75,253.33333333333337,2.092631578947368,0.04755980861244019
15N998,QJK,202511,UNIDENTIFIED DOCTORS,1,28,4.56,92,10.869565217391305,4.56,0.16285714285714284
18C998,QGH,202511,UNIDENTIFIED DOCTORS,3,84,57.67,30,100,19.223333333333333,0.6865476190476191
27D998,QYG,202511,UNIDENTIFIED DOCTORS,91,1888,404.97000000000014,342,266.08187134502924,4.450219780219782,0.2144968220338984
36J998,QWO,202511,UNIDENTIFIED DOCTORS,9,672,40.21,26,346.15384615384613,4.467777777777778,0.05983630952380953
36L998,QWE,202511,UNIDENTIFIED DOCTORS,10,274,38.73,91,109.89010989010988,3.873,0.14135036496350364
42D998,QOQ,202511,UNIDENTIFIED DOCTORS,201,2605,844.5799999999998,358,561.4525139664804,4.20189054726368,0.324214971209213
52R998,QT1,202511,UNIDENTIFIED DOCTORS,84,1369,265.48,835,100.59880239520956,3.160476190476191,0.19392257121986853
70F998,QNX,202511,UNIDENTIFIED DOCTORS,1,28,1.9,177,5.649717514124294,1.9,0.06785714285714285
71E998,QJM,202511,UNIDENTIFIED DOCTORS,93,823,151.69,160,581.25,1.6310752688172043,0.1843134872417983
72Q998,QKK,202511,UNIDENTIFIED DOCTORS,52,1291,82.1,165,315.1515151515151,1.5788461538461538,0.06359411309062742
78H998,QPM,202511,UNIDENTIFIED DOCTORS,4,443,11.03,91,43.95604395604395,2.7575000000000003,0.02489841986455982
84H998,QHM,202511,UNIDENTIFIED DOCTORS,103,3499,321.3699999999999,331,311.178247734139,3.1200970873786402,0.09184624178336664
8A3A8R,QMF,202511,UNIDENTIFIED DOCTORS,90,1741,180.58,385,233.76623376623377,2.0064444444444445,0.10372199885123493
8B2M3M,QWU,202511,UNIDENTIFIED DOCTORS,104,2508,400.41000000000014,1921,54.13846954711088,3.850096153846155,0.15965311004784694
8D2P2L,QUA,202511,UNIDENTIFIED DOCTORS,23,841,45.85,122,188.5245901639344,1.9934782608695656,0.05451843043995244
8D9Y0V,QRL,202511,UNIDENTIFIED DOCTORS,5,84,10.339999999999998,129,38.75968992248062,2.0679999999999996,0.12309523809523808
8M1J4Y,QHG,202511,UNIDENTIFIED DOCTORS,10,242,118.68,69,144.92753623188406,11.868,0.4904132231404959
8M2L0M,QOC,202511,UNIDENTIFIED DOCTORS,19,914,36.78,91,208.7912087912088,1.9357894736842105,0.04024070021881838
8W2U3Z,QRV,202511,UNIDENTIFIED DOCTORS,1749,11606,4609.859999999999,4794,364.83103879849807,2.635711835334476,0.3971962777873513
91Q998,QKS,202511,UNIDENTIFIED DOCTORS,100,1683,291.12,324,308.641975308642,2.9112,0.17297682709447415
93C998,QMJ,202511,UNIDENTIFIED DOCTORS,258,6528,752.4800000000004,1007,256.20655412115195,2.9165891472868233,0.1152696078431373
99A998,QYG,202511,UNIDENTIFIED DOCTORS,7,329,44.54,36,194.44444444444449,6.362857142857143,0.13537993920972644
99C998,QHM,202511,UNIDENTIFIED DOCTORS,1,56,2.44,96,10.416666666666666,2.44,0.04357142857142857
99F998,QH8,202511,UNIDENTIFIED DOCTORS,41,1332,198.79,158,259.49367088607596,4.848536585365854,0.14924174174174176
99G998,QH8,202511,UNIDENTIFIED DOCTORS,108,1477,162.45999999999998,406,266.00985221674875,1.504259259259259,0.10999322951929584
A81001,QHM,202511,THE DENSHAM SURGERY,103,3021,1303.27,8795,11.711199545196134,12.653106796116504,0.43140350877192984
A81002,QHM,202511,QUEENS PARK MEDICAL CENTRE,1051,13816,8521.090000000002,43478,24.173145038870235,8.107602283539489,0.6167552113491606
A81004,QHM,202511,ACKLAM MEDICAL CENTRE,575,7209,4222.779999999998,20125,28.57142857142857,7.3439652173913,0.5857650159522816
A81005,QHM,202511,SPRINGWOOD SURGERY,271,3636,2478.290000000001,21086,12.85212937494072,9.1449815498155,0.6815979097909793
A81006,QHM,202511,TENNANT STREET MEDICAL PRACTICE,785,6572,4906.250000000004,32746,23.97239357478776,6.250000000000004,0.7465383444917839
A81007,QHM,202511,BANKHOUSE SURGERY,384,7522,1831.26,20536,18.698870276587456,4.768906250000001,0.24345386865195429
A81009,QHM,202511,VILLAGE MEDICAL CENTRE,208,5733,2061.26,15029,13.839909508283984,9.909903846153846,0.35954299668585377
A81011,QHM,202511,CHADWICK PRACTICE,657,5781,5104.6100000000015,29371,22.36900343876613,7.76957382039574,0.8829977512541085
A81012,QHM,202511,WESTBOURNE MEDICAL CENTRE,282,3534,1794.53,13982,20.168788442282935,6.363581560283688,0.5077900396151669
A81013,QHM,202511,BROTTON SURGERY,270,6428,1862.8199999999997,19694,13.709759317558648,6.899333333333332,0.28979775980087114
A81014,QHM,202511,QUEENSTREE PRACTICE,195,4179,3473.789999999998,10999,17.728884444040368,17.814307692307683,0.8312491026561374
A81016,QHM,202511,PARK SURGERY,481,5983,3459.2700000000004,21020,22.882968601332063,7.191829521829523,0.5781831856927964
A81017,QHM,202511,WOODBRIDGE PRACTICE,449,7387,3864.9300000000017,34723,12.930910347608211,8.607861915367486,0.5232069852443484
A81018,QHM,202511,BENTLEY MEDICAL PRACTICE,462,5516,4390.500000000002,27315,16.91378363536518,9.503246753246756,0.7959572153734593
A81019,QHM,202511,CROSSFELL HEALTH CENTRE,439,8513,4993.839999999997,21647,20.27994641289786,11.375489749430518,0.5866134147773989
A81020,QHM,202511,MARTONSIDE MEDICAL CENTRE,362,4781,3030.4600000000005,18351,19.726445425317426,8.371436464088399,0.6338548420832463
A81021,QHM,202511,NORMANBY MEDICAL CENTRE,1913,12649,6681.859999999996,61426,31.143164132452057,3.4928698379508605,0.5282520357340498
A81022,QHM,202511,HILLSIDE PRACTICE,522,5409,2540.3700000000003,24272,21.506262359920896,4.866609195402299,0.46965612867443163
A81023,QHM,202511,THE ENDEAVOUR PRACTICE,326,5937,3045.9300000000007,14186,22.98040321443677,9.34334355828221,0.5130419403739264
A81025,QHM,202511,THE DOVECOT SURGERY,166,3222,658.1500000000003,9557,17.369467406089775,3.96475903614458,0.2042675356921168
A81026,QHM,202511,LINTHORPE SURGERY,690,8606,4605.209999999999,41273,16.71795120296562,6.674217391304347,0.5351161980013943
A81027,QHM,202511,YARM MEDICAL PRACTICE,831,8214,3330.779999999999,22200,37.432432432432435,4.008158844765341,0.4055003652300948
A81029,QHM,202511,PROSPECT SURGERY,197,4685,2868.2499999999995,15606,12.623349993592209,14.559644670050758,0.6122198505869796
A81030,QHM,202511,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,446,11644,3493.1500000000005,33625,13.263940520446097,7.832174887892378,0.299995705942975
A81031,QHM,202511,HAVELOCK GRANGE PRACTICE,630,10913,3751.359999999998,30382,20.73596208281219,5.9545396825396795,0.343751489049757
A81032,QHM,202511,THE GARTH,580,5069,3068.919999999998,29819,19.45068580435293,5.291241379310341,0.6054290787137498
A81034,QHM,202511,THORNABY & BARWICK MEDICAL GROUP,1194,12066,8641.140000000003,43423,27.49694862169818,7.237135678391963,0.7161561412232722
A81035,QHM,202511,NEWLANDS MEDICAL CENTRE,278,9313,3188.98,18709,14.85915869367684,11.47115107913669,0.34242242027273706
A81036,QHM,202511,NORTON MEDICAL CENTRE,551,6545,4245.069999999999,36938,14.91688775786453,7.704301270417421,0.6485974025974024
A81037,QHM,202511,THE ERIMUS PRACTICE,321,9291,3054.0199999999995,12884,24.914622787954052,9.514080996884733,0.32870735120008604
A81038,QHM,202511,HIRSEL MEDICAL CENTRE,172,4366,558.0199999999999,8821,19.498923024600387,3.2443023255813945,0.12781035272560692
A81039,QHM,202511,EAGLESCLIFFE MEDICAL PRACTICE,624,8999,5319.139999999997,23779,26.24164178476807,8.524262820512815,0.5910812312479161
A81040,QHM,202511,MARSH HOUSE MEDICAL PRACTICE,296,6229,2083.049999999999,18403,16.084334075965874,7.037331081081077,0.33441162305345945
A81041,QHM,202511,HART MEDICAL PRACTICE,438,7469,2421.120000000001,18694,23.429977532898253,5.527671232876714,0.32415584415584425
A81042,QHM,202511,SOUTH GRANGE MEDICAL GROUP PRACTICE,1067,10363,6251.559999999999,36528,29.21046868155935,5.859006560449858,0.603257743896555
A81044,QHM,202511,MCKENZIE HOUSE SURGERY,1271,7886,3716.639999999999,46505,27.330394581227825,2.9241856805664823,0.47129596753740793
A81045,QHM,202511,THE COATHAM ROAD SURGERY,416,5926,2047.6700000000003,16579,25.091983834971952,4.922283653846154,0.34553999325008444
A81046,QHM,202511,WOODLANDS FAMILY MEDICAL CENTRE,487,7779,3294.6999999999966,22468,21.67527149724052,6.765297741273094,0.423537729785319
A81048,QHM,202511,ZETLAND MEDICAL PRACTICE,394,5396,1942.2300000000005,19814,19.884929847582516,4.929517766497463,0.35993884358784295
A81049,QHM,202511,KINGS MEDICAL CENTRE,207,3322,1143.0700000000006,12098,17.11026615969582,5.522077294685993,0.3440909090909093
A81051,QHM,202511,CAMBRIDGE MEDICAL GROUP,266,4428,1900.47,15036,17.690875232774673,7.144624060150376,0.42919376693766936
A81052,QHM,202511,THE GREEN HOUSE SURGERY,390,4404,3898.109999999998,26052,14.97005988023952,9.99515384615384,0.885129427792915
A81053,QHM,202511,WOODSIDE SURGERY,240,4745,1591.2300000000002,17567,13.661979848579724,6.630125000000001,0.3353487881981033
A81054,QHM,202511,THE SALTSCAR SURGERY,408,8074,3021.099999999999,21065,19.368620935200568,7.404656862745096,0.3741763685905374
A81056,QHM,202511,MELROSE SURGERY,78,2511,365.61999999999995,5399,14.447119837006852,4.687435897435897,0.14560732775786536
A81057,QHM,202511,KINGSWAY MEDICAL CENTRE,524,4868,3426.4099999999994,20711,25.300564917193764,6.538950381679388,0.7038640098603122
A81058,QHM,202511,COULBY MEDICAL PRACTICE,460,7494,4031.380000000001,20636,22.29114169412677,8.763869565217394,0.5379476914865227
A81060,QHM,202511,WEST QUAY MEDICAL PRACTICE,301,5536,1302.0400000000002,14323,21.01515045730643,4.3257142857142865,0.2351950867052023
A81063,QHM,202511,THE HEADLAND MEDICAL CENTRE,165,3691,743.5600000000003,12424,13.280746941403734,4.506424242424244,0.2014521809807641
A81064,QHM,202511,THE DISCOVERY PRACTICE,357,6846,2629.1000000000004,12594,28.346831824678414,7.364425770308125,0.3840344726847794
A81065,QHM,202511,THE ESTON SURGERY,13,272,28.87,1925,6.753246753246753,2.220769230769231,0.10613970588235294
A81066,QHM,202511,PARK LANE SURGERY,229,5293,1696.65,11865,19.30046354825116,7.408951965065502,0.32054600415643303
A81067,QHM,202511,ALMA MEDICAL CENTRE,312,6673,2198.4599999999996,22098,14.118924789573716,7.0463461538461525,0.32945601678405506
A81070,QHM,202511,MCKENZIE GROUP PRACTICE,424,2343,1048.8200000000002,10514,40.32718280388054,2.4736320754716985,0.44763977806231336
A81602,QHM,202511,DR RASOOL,145,2717,1228.5900000000004,5779,25.090846167156947,8.473034482758623,0.4521862348178139
A81608,QHM,202511,ELM TREE SURGERY,515,9406,8283.49,25825,19.941916747337853,16.084446601941746,0.8806602168828407
A81610,QHM,202511,THE ROSEBERRY PRACTICE,369,5981,3181.76,15564,23.708558211256747,8.622655826558265,0.5319779301120214
A81611,QHM,202511,PARKWAY MEDICAL CENTRE,390,4486,5095.139999999996,18648,20.91377091377091,13.064461538461527,1.1357868925546135
A81612,QHM,202511,THE PATEL PRACTICE,147,1723,803.75,8138,18.06340624231998,5.467687074829932,0.466482878699942
A81618,QHM,202511,HUNTCLIFF SURGERY,437,6793,3690.159999999999,24294,17.987980571334486,8.444302059496565,0.5432297953775944
A81621,QHM,202511,THORNTREE SURGERY,196,3382,467.56000000000006,6515,30.084420567920183,2.385510204081633,0.13824955647545834
A81622,QHM,202511,GLADSTONE HOUSE SURGERY,120,3315,2328.729999999999,10755,11.15760111576011,19.406083333333324,0.7024826546003013
A81629,QHM,202511,RIVERSIDE MEDICAL PRACTICE,331,4675,3010.3099999999995,19219,17.222540194599095,9.094592145015104,0.6439165775401069
A81631,QHM,202511,WEST VIEW MILLENIUM SURGERY A,233,7011,1792.3700000000003,14977,15.55718768778794,7.692575107296139,0.2556511196690915
A82003,QE1,202511,ULVERSTON MEDICAL PRACTICE,619,5825,2704.6299999999997,18454,33.542863335862144,4.36935379644588,0.4643141630901287
A82004,QHM,202511,ALSTON MEDICAL PRACTICE,87,1952,477.12000000000006,5087,17.102417928051896,5.484137931034484,0.24442622950819676
A82005,QE1,202511,AMBLESIDE HEALTH CENTRE,188,3640,1697.3500000000006,11812,15.916017609210972,9.028457446808511,0.4663049450549453
A82006,QHM,202511,APPLEBY MEDICAL PRACTICE,360,3302,1079.29,10252,35.115099492781894,2.9980277777777777,0.3268594791035736
A82007,QE1,202511,DUKE STREET SURGERY,495,6424,5822.289999999997,22505,21.99511219728949,11.762202020202016,0.90633405977584
A82008,QE1,202511,NORWOOD MEDICAL CENTRE,449,8158,4727.500000000001,23935,18.75913933570086,10.528953229398663,0.5794925226771268
A82009,QE1,202511,BRIDGEGATE MEDICAL CENTRE,358,6257,3243.750000000001,20360,17.583497053045186,9.060754189944136,0.5184193703052583
A82010,QE1,202511,ABBEY ROAD SURGERY,329,5327,2008.26,12349,26.641833346829703,6.104133738601823,0.3769964332645016
A82012,QHM,202511,BRAMPTON MEDICAL PRACTICE,1343,7746,7097.529999999999,41814,32.118429234227776,5.284832464631421,0.9162832429641103
A82013,QHM,202511,UPPER EDEN MEDICAL PRACTICE,301,4039,1245.4300000000003,16538,18.20050792115129,4.13764119601329,0.3083510769992573
A82014,QHM,202511,CALDBECK SURGERY,160,1998,417.54000000000013,10235,15.632633121641426,2.6096250000000007,0.20897897897897905
A82015,QHM,202511,CARLISLE CENTRAL PRACTICE,465,6699,3048.960000000001,18556,25.059280017245097,6.556903225806454,0.4551365875503808
A82016,QHM,202511,CARLISLE HEALTHCARE,2025,14493,14372.930000000004,70718,28.634859583133007,7.097743209876545,0.991715310839716
A82018,QHM,202511,SPENCER ST SURGERY,385,7588,3865.8599999999974,18299,21.039401060167226,10.0411948051948,0.5094702161307324
A82020,QHM,202511,EDEN MEDICAL GROUP,804,11225,5027.439999999999,24663,32.59944045736528,6.253034825870645,0.44787884187082394
A82021,QHM,202511,CASTLEGATE AND DERWENT SURGERY,584,5952,4470.16,37071,15.753553990990262,7.654383561643836,0.7510349462365591
A82022,QHM,202511,DALSTON MEDICAL GROUP,416,2017,834.9,12458,33.3921977845561,2.0069711538461537,0.41393158155676746
A82023,QHM,202511,DISTINGTON SURGERY,265,3694,1528.5600000000004,15896,16.67086059386009,5.768150943396228,0.4137953438007581
A82024,QHM,202511,SEASCALE HEALTH CENTRE,311,4357,949.62,12149,25.59881471726068,3.053440514469453,0.2179527197613036
A82025,QE1,202511,CAPTAIN FRENCH SURGERY,467,7452,2526.629999999999,20043,23.299905203811804,5.410342612419699,0.3390539452495973
A82026,QE1,202511,THE JAMES COCHRANE PRACT.,303,5475,1830.49,32372,9.35994068948474,6.041221122112212,0.33433607305936075
A82027,QE1,202511,STATION HOUSE SURGERY,473,6107,3367.6400000000003,21616,21.8819393042191,7.119746300211417,0.5514393319141969
A82028,QHM,202511,CASTLEHEAD MEDICAL CENTRE,454,4181,1307.8200000000002,14861,30.549761119709306,2.8806607929515424,0.3128007653671371
A82029,QHM,202511,THE CROFT SURGERY,191,2554,1204.7199999999998,8175,23.363914373088683,6.307434554973821,0.47169929522317927
A82030,QE1,202511,LUNESDALE SURGERY,404,6833,2674.3600000000006,13717,29.452504191878692,6.619702970297031,0.39138884823649944
A82031,QHM,202511,SHAP MEDICAL PRACTICE,158,2838,681.5,7521,21.00784470150246,4.313291139240507,0.2401338971106413
A82032,QHM,202511,MARYPORT HEALTH SERVICES,705,8282,4335.699999999997,33894,20.800141617985485,6.14992907801418,0.5235088142960634
A82033,QE1,202511,WATERLOO HOUSE SURGERY,333,6569,1549.7999999999995,17174,19.389775241644344,4.654054054054053,0.23592632059674223
A82035,QHM,202511,BIRBECK MEDICAL GROUP,570,6521,4357.339999999997,20400,27.941176470588236,7.644456140350873,0.6682011961355616
A82036,QHM,202511,THE LAKES MEDICAL PRACTICE,403,4308,2085.630000000001,16893,23.856035044101105,5.175260545905709,0.48412952646239565
A82037,QHM,202511,SILLOTH GROUP MEDICAL PRACTICE,298,2346,1374.96,11992,24.849899933288857,4.613959731543624,0.5860869565217391
A82038,QHM,202511,TEMPLE SOWERBY MEDICAL PRACTICE,293,4497,1605.2100000000005,7080,41.38418079096045,5.478532423208192,0.3569513008672449
A82039,QE1,202511,DALTON SURGERY,250,7594,3520.1299999999965,14339,17.434967570960318,14.080519999999986,0.4635409533842503
A82041,QHM,202511,LOWTHER MEDICAL CENTRE,684,9425,7229.23,32991,20.73292716195326,10.56904970760234,0.7670270557029178
A82044,QHM,202511,FELLVIEW HEALTHCARE,1222,11841,5465.219999999997,52359,23.338872018182165,4.472356792144024,0.4615505447175066
A82045,QHM,202511,WIGTON GROUP MEDICAL PRACTICE,265,3893,1013.2,18746,14.136349087805398,3.8233962264150945,0.2602620087336245
A82046,QE1,202511,WINDERMERE HEALTH CENTRE,157,2727,867.1500000000001,6760,23.224852071005916,5.523248407643313,0.317986798679868
A82047,QHM,202511,JAMES STREET GROUP PRACT,1787,11997,9905.610000000008,73659,24.260443394561424,5.54315053161724,0.8256739184796206
A82053,QE1,202511,NUTWOOD MEDICAL PRACTICE,318,4914,1490.2,19368,16.41883519206939,4.686163522012579,0.30325600325600327
A82055,QHM,202511,ASPATRIA MEDICAL GROUP,344,4476,1965.8400000000008,17384,19.788311090658077,5.714651162790699,0.4391957104557642
A82062,QE1,202511,ATKINSON HEALTH CENTRE,194,7035,2819.399999999999,12210,15.888615888615888,14.532989690721646,0.4007675906183368
A82064,QHM,202511,WESTCROFT HOUSE SURGERY,315,4884,1048.34,16165,19.486545004639655,3.328063492063492,0.21464782964782964
A82068,QE1,202511,ULVERSTON COMMUNITY HEALTH CENTRE,252,3003,1364.23,6739,37.39427214720285,5.413611111111111,0.4542890442890443
A82070,QE1,202511,ST.MARY'S SURGERY,241,3121,2682.3200000000006,12463,19.337238225146432,11.12995850622407,0.8594424863825699
A82071,QE1,202511,BURNETT EDGAR MEDICAL CTR,183,1826,811.8200000000002,11063,16.54162523727741,4.436174863387979,0.4445892661555313
A82072,QE1,202511,RISEDALE SURGERY,282,2428,2894.9100000000003,14541,19.393439240767485,10.26563829787234,1.192302306425041
A82075,QHM,202511,MANSION HOUSE SURGERY,283,2803,1015.8599999999998,16653,16.99393502672191,3.589611307420494,0.3624188369603995
A82608,QE1,202511,SEDBERGH MEDICAL PRACTICE,254,3418,1143.4399999999998,7985,31.809643080776453,4.501732283464566,0.33453481568168514
A82613,QE1,202511,WRAYSDALE HOUSE SURGERY,89,1622,254.67000000000004,1734,51.32641291810842,2.861460674157304,0.15700986436498154
A82617,QHM,202511,KIRKOSWALD SURGERY,138,1807,628.8599999999999,5648,24.43342776203966,4.55695652173913,0.34801328168234635
A82620,QHM,202511,GLENRIDDING HEALTH CENTRE,65,659,244.1500000000001,1612,40.32258064516129,3.756153846153848,0.370485584218513
A82629,QE1,202511,THE FAMILY PRACTICE,98,1919,293.49,7359,13.317026769941569,2.994795918367347,0.15293903074517978
A82631,QHM,202511,COURT THORN SURGERY,161,3036,765.5800000000004,8178,19.68696502812424,4.755155279503108,0.25216732542819514
A82646,QHM,202511,LONGTOWN MEDICAL CENTRE,101,863,1531.7600000000002,9224,10.949696444058976,15.165940594059409,1.7749246813441486
A82647,QE1,202511,CARTMEL SURGERY,135,2167,491.3500000000001,8545,15.79871269748391,3.6396296296296304,0.22674203968620216
A82650,QE1,202511,HAVERTHWAITE SURGERY,107,2246,901.7000000000002,5833,18.343905366020916,8.42710280373832,0.4014692787177205
A82651,QE1,202511,DUDDON VALLEY MEDICAL PRACTICE,179,3843,688.7900000000003,10274,17.422620206346117,3.847988826815645,0.17923237054384605
A82654,QHM,202511,WARWICK SQUARE GROUP PRACTICE,238,3592,7747.23,14946,15.923993041616486,32.55138655462185,2.1568012249443207
A83001,QHM,202511,ST ANDREW'S MEDICAL PRACTICE,692,8932,4016.89,40297,17.172494230339726,5.804754335260116,0.4497189879086431
A83003,QHM,202511,WILLINGTON MEDICAL GROUP,453,5387,3419.42,23551,19.23485202326865,7.548388520971303,0.6347540374976796
A83005,QHM,202511,WHINFIELD MEDICAL PRACTICE,771,6287,4444.750000000001,29939,25.752363138381376,5.764915693904022,0.7069747097184669
A83006,QHM,202511,ORCHARD COURT SURGERY,250,5155,2443.749999999999,14466,17.28190239181529,9.774999999999997,0.474054316197866
A83007,QHM,202511,BLACKHALL AND PETERLEE PRACTICE,483,5489,2300.3399999999997,28854,16.739446870451236,4.762608695652173,0.41908179996356343
A83008,QHM,202511,HALLGARTH SURGERY,340,3087,1792.95,15280,22.25130890052356,5.2733823529411765,0.5808066083576288
A83009,QHM,202511,BRIDGE END SURGERY,569,7227,2854.3399999999997,17165,33.148849402854644,5.016414762741651,0.3949550297495502
A83010,QHM,202511,MOORLANDS SURGERY,811,8919,4666.000000000001,32664,24.82855743325986,5.753390875462393,0.5231528198228502
A83011,QHM,202511,CLAYPATH & UNIVERSITY MEDICAL GROUP,887,5091,5186.040000000001,23834,37.21574221700092,5.846719278466743,1.0186682380671774
A83012,QHM,202511,WILLIAM BROWN CENTRE,817,5439,6276.090000000003,46492,17.572915770455133,7.681872705018363,1.1539051296194158
A83013,QHM,202511,NEASHAM ROAD SURGERY,375,8204,3494.189999999999,27150,13.812154696132596,9.31784,0.4259129692832763
